0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/nicesellect.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/finalcountdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/images/payments.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/images/logo2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/js/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/images/banner-bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:34 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/home HTTP/1.1" 200 27717
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/js/script.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:47 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:49 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6693
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:49 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:49 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:37:49 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:17 +0700] "GET /WebsiteBookStore/forgotPassword HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:17 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6833
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/images/banner-login.png HTTP/1.1" 200 1699016
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:38:42 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/images/banner-login.png HTTP/1.1" 200 1699016
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:06 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/images/banner-login.png HTTP/1.1" 200 1699016
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:16 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/images/banner-login.png HTTP/1.1" 200 1699016
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:18 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/js/main.js HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/images/banner-login.png HTTP/1.1" 200 1699016
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:20 +0700] "GET /favicon.ico HTTP/1.1" 404 684
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/login HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/fonts/icomoon/style.css HTTP/1.1" 404 725
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/login.css HTTP/1.1" 200 3237
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/bootstrap.min.css HTTP/1.1" 200 178180
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 99220
0:0:0:0:0:0:0:1 - - [16/Nov/2022:11:39:21 +0700] "GET /WebsiteBookStore/js/jquery-3.3.1.min.js HTTP/1.1" 200 86926
