0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/ytplayer.min.js HTTP/1.1" 200 54786
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/images/payments.png HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/images/logo2.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/img/user.jpg HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/images/favicon.png HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:21:35 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/detail?pid=11 HTTP/1.1" 200 16202
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 104233
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/slicknav.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/facnybox.min.js HTTP/1.1" 200 79298
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 200 54553
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 200 33466
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/finalcountdown.min.js HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/nicesellect.js HTTP/1.1" 200 144110
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/ytplayer.min.js HTTP/1.1" 200 54786
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/img/user.jpg HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/images/payments.png HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/images/logo2.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:35 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:36 +0700] "GET /WebsiteBookStore/images/favicon.png HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:36 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/detail?pid=11 HTTP/1.1" 200 16290
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 104233
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/slicknav.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 200 54553
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 200 33466
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/facnybox.min.js HTTP/1.1" 200 79298
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/finalcountdown.min.js HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/nicesellect.js HTTP/1.1" 200 144110
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/ytplayer.min.js HTTP/1.1" 200 54786
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/img/user.jpg HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/images/logo2.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:23:59 +0700] "GET /WebsiteBookStore/images/payments.png HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/images/favicon.png HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:00 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/detail?pid=11 HTTP/1.1" 200 16290
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 104233
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/slicknav.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 200 54553
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 200 33466
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/facnybox.min.js HTTP/1.1" 200 79298
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:21 +0700] "GET /WebsiteBookStore/js/finalcountdown.min.js HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/ytplayer.min.js HTTP/1.1" 200 54786
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/nicesellect.js HTTP/1.1" 200 144110
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/js/active.js HTTP/1.1" 200 8646
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/img/user.jpg HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/images/payments.png HTTP/1.1" 200 10415
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/images/logo2.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/images/logo.png HTTP/1.1" 200 16901
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/fonts/themify.woff HTTP/1.1" 404 716
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/fonts/themify.ttf HTTP/1.1" 404 715
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 404 729
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.woff?v=4.7.0 HTTP/1.1" 404 728
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/fonts/fontawesome-webfont.ttf?v=4.7.0 HTTP/1.1" 404 727
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/loadAllAmountCart HTTP/1.1" 200 3
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:22 +0700] "GET /WebsiteBookStore/images/favicon.png HTTP/1.1" 200 6917
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/detail?pid=11 HTTP/1.1" 200 16290
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/bootstrap.css HTTP/1.1" 200 165667
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/magnific-popup.min.css HTTP/1.1" 200 6138
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/jquery.fancybox.min.css HTTP/1.1" 200 13746
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/font-awesome.css HTTP/1.1" 200 41747
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/themify-icons.css HTTP/1.1" 200 16403
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/niceselect.css HTTP/1.1" 200 4182
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/animate.css HTTP/1.1" 200 78576
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/owl-carousel.css HTTP/1.1" 200 6122
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/slicknav.min.css HTTP/1.1" 200 2239
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/flex-slider.min.css HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/reset.css HTTP/1.1" 200 36950
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/style.css HTTP/1.1" 200 104233
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/css/responsive.css HTTP/1.1" 200 31116
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/jquery.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/jquery-migrate-3.0.0.js HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/popper.min.js HTTP/1.1" 200 19241
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/jquery-ui.min.js HTTP/1.1" 200 30936
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/bootstrap.min.js HTTP/1.1" 200 93064
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/colors.js HTTP/1.1" 404 710
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/slicknav.min.js HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/waypoints.min.js HTTP/1.1" 200 8051
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/magnific-popup.js HTTP/1.1" 200 33466
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/owl-carousel.js HTTP/1.1" 200 54553
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/facnybox.min.js HTTP/1.1" 200 79298
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/finalcountdown.min.js HTTP/1.1" 200 5391
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:25 +0700] "GET /WebsiteBookStore/js/nicesellect.js HTTP/1.1" 200 144110
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:26 +0700] "GET /WebsiteBookStore/js/flex-slider.js HTTP/1.1" 200 16124
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:26 +0700] "GET /WebsiteBookStore/js/scrollup.js HTTP/1.1" 200 2047
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:26 +0700] "GET /WebsiteBookStore/js/ytplayer.min.js HTTP/1.1" 200 54786
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:26 +0700] "GET /WebsiteBookStore/js/onepage-nav.min.js HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [17/Nov/2022:14:24:26 +0700] "GET /WebsiteBookStore/js/easing.js HTTP/1.1" 200 2299
